# From extend_go_genes.pl on Tue Apr 21 11:35:37 2020
# Input = gos_table.txt
# Genes	GO	GO branch
gsiC	GO:0006810	P
gsiD	GO:0006810	P
gspC	GO:0006810	P
gspD	GO:0006810	P
gspE	GO:0006810	P
gspF	GO:0006810	P
gspG	GO:0006810	P
gspH	GO:0006810	P
gspI	GO:0006810	P
gspJ	GO:0006810	P
gspK	GO:0006810	P
gspL	GO:0006810	P
gspM	GO:0006810	P
gudP	GO:0006810	P
gutM	GO:0006810	P
hcaT	GO:0006810	P
hisJ	GO:0006810	P
hisM	GO:0006810	P
hisP	GO:0006810	P
hisQ	GO:0006810	P
hmp	GO:0006810	P
hofC	GO:0006810	P
hofQ	GO:0006810	P
hsrA	GO:0006810	P
htrE	GO:0006810	P
idnT	GO:0006810	P
kbaZ	GO:0006810	P
kch	GO:0006810	P
kdgT	GO:0006810	P
kdpA	GO:0006810	P
kdpB	GO:0006810	P
kdpC	GO:0006810	P
kdpF	GO:0006810	P
kefB	GO:0006810	P
kefC	GO:0006810	P
kefF	GO:0006810	P
kefG	GO:0006810	P
kgtP	GO:0006810	P
kup	GO:0006810	P
lacY	GO:0006810	P
lamB	GO:0006810	P
leuE	GO:0006810	P
lgoT	GO:0006810	P
livF	GO:0006810	P
livG	GO:0006810	P
livH	GO:0006810	P
livJ	GO:0006810	P
livK	GO:0006810	P
livM	GO:0006810	P
lldP	GO:0006810	P
lolA	GO:0006810	P
lolB	GO:0006810	P
lolC	GO:0006810	P
lolD	GO:0006810	P
lolE	GO:0006810	P
lplT	GO:0006810	P
lptA	GO:0006810	P
lptB	GO:0006810	P
lptC	GO:0006810	P
lptD	GO:0006810	P
lptE	GO:0006810	P
lptF	GO:0006810	P
lptG	GO:0006810	P
lsrA	GO:0006810	P
lsrC	GO:0006810	P
lsrD	GO:0006810	P
lysO	GO:0006810	P
lysP	GO:0006810	P
macA	GO:0006810	P
macB	GO:0006810	P
malE	GO:0006810	P
malF	GO:0006810	P
malG	GO:0006810	P
malK	GO:0006810	P
malM	GO:0006810	P
malX	GO:0006810	P
manX	GO:0006810	P
manY	GO:0006810	P
manZ	GO:0006810	P
mdfA	GO:0006810	P
mdlA	GO:0006810	P
mdlB	GO:0006810	P
mdtA	GO:0006810	P
mdtB	GO:0006810	P
mdtC	GO:0006810	P
mdtD	GO:0006810	P
mdtE	GO:0006810	P
mdtF	GO:0006810	P
mdtG	GO:0006810	P
mdtH	GO:0006810	P
mdtI	GO:0006810	P
mdtJ	GO:0006810	P
mdtK	GO:0006810	P
mdtL	GO:0006810	P
mdtM	GO:0006810	P
mdtN	GO:0006810	P
mdtO	GO:0006810	P
mdtP	GO:0006810	P
melB	GO:0006810	P
metI	GO:0006810	P
metN	GO:0006810	P
metQ	GO:0006810	P
mglA	GO:0006810	P
mglB	GO:0006810	P
mglC	GO:0006810	P
mgtA	GO:0006810	P
mhpT	GO:0006810	P
mlaA	GO:0006810	P
mlaB	GO:0006810	P
mlaC	GO:0006810	P
mlaD	GO:0006810	P
mlaE	GO:0006810	P
mlaF	GO:0006810	P
mmuP	GO:0006810	P
mngA	GO:0006810	P
mntH	GO:0006810	P
mntP	GO:0006810	P
modA	GO:0006810	P
modB	GO:0006810	P
modC	GO:0006810	P
modE	GO:0006810	P
modF	GO:0006810	P
motA	GO:0006810	P
mppA	GO:0006810	P
mrdB	GO:0006810	P
msbA	GO:0006810	P
mscK	GO:0006810	P
mscL	GO:0006810	P
mscM	GO:0006810	P
mscS	GO:0006810	P
mtlA	GO:0006810	P
mtr	GO:0006810	P
murJ	GO:0006810	P
murP	GO:0006810	P
nagE	GO:0006810	P
nanC	GO:0006810	P
nanT	GO:0006810	P
narK	GO:0006810	P
narU	GO:0006810	P
nepI	GO:0006810	P
nfeF	GO:0006810	P
nfrB	GO:0006810	P
nhaA	GO:0006810	P
nhaB	GO:0006810	P
nikA	GO:0006810	P
nikB	GO:0006810	P
nikC	GO:0006810	P
nikD	GO:0006810	P
nikE	GO:0006810	P
nimT	GO:0006810	P
nirC	GO:0006810	P
nlpA	GO:0006810	P
npr	GO:0006810	P
nrfE	GO:0006810	P
nupC	GO:0006810	P
nupG	GO:0006810	P
nupX	GO:0006810	P
