# From extend_go_genes.pl on Tue Apr 21 11:35:37 2020
# Input = gos_table.txt
# Genes	GO	GO branch
helD	GO:0033554	P
hisA	GO:0033554	P
hokE	GO:0033554	P
hprS	GO:0033554	P
hscA	GO:0033554	P
hslR	GO:0033554	P
htpG	GO:0033554	P
hupA	GO:0033554	P
hyfC	GO:0033554	P
hyfF	GO:0033554	P
idi	GO:0033554	P
insK	GO:0033554	P
iraD	GO:0033554	P
iraM	GO:0033554	P
iraP	GO:0033554	P
katE	GO:0033554	P
kdgK	GO:0033554	P
lamB	GO:0033554	P
ldtD	GO:0033554	P
leuB	GO:0033554	P
lexA	GO:0033554	P
ligA	GO:0033554	P
ligB	GO:0033554	P
lldP	GO:0033554	P
lldR	GO:0033554	P
loiP	GO:0033554	P
lon	GO:0033554	P
malE	GO:0033554	P
malF	GO:0033554	P
mazG	GO:0033554	P
mfd	GO:0033554	P
mglA	GO:0033554	P
mglC	GO:0033554	P
mgtS	GO:0033554	P
miaA	GO:0033554	P
mlaB	GO:0033554	P
mmuM	GO:0033554	P
modF	GO:0033554	P
mug	GO:0033554	P
mutH	GO:0033554	P
mutL	GO:0033554	P
mutM	GO:0033554	P
mutS	GO:0033554	P
mutT	GO:0033554	P
mutY	GO:0033554	P
nadE	GO:0033554	P
nagE	GO:0033554	P
nanK	GO:0033554	P
narX	GO:0033554	P
narY	GO:0033554	P
nei	GO:0033554	P
nfeF	GO:0033554	P
nfeR	GO:0033554	P
nfi	GO:0033554	P
nfo	GO:0033554	P
nfuA	GO:0033554	P
nikE	GO:0033554	P
nth	GO:0033554	P
nudG	GO:0033554	P
ogt	GO:0033554	P
ompA	GO:0033554	P
ompC	GO:0033554	P
otsA	GO:0033554	P
otsB	GO:0033554	P
oxyR	GO:0033554	P
paaJ	GO:0033554	P
paoC	GO:0033554	P
pdeD	GO:0033554	P
pdeF	GO:0033554	P
pfkB	GO:0033554	P
pflA	GO:0033554	P
phoQ	GO:0033554	P
phoR	GO:0033554	P
phoU	GO:0033554	P
phr	GO:0033554	P
polA	GO:0033554	P
polB	GO:0033554	P
priA	GO:0033554	P
proQ	GO:0033554	P
psiE	GO:0033554	P
pstA	GO:0033554	P
pstS	GO:0033554	P
purA	GO:0033554	P
purB	GO:0033554	P
purD	GO:0033554	P
purN	GO:0033554	P
puuP	GO:0033554	P
radA	GO:0033554	P
radD	GO:0033554	P
rbfA	GO:0033554	P
rcnB	GO:0033554	P
rcsF	GO:0033554	P
recA	GO:0033554	P
recB	GO:0033554	P
recC	GO:0033554	P
recD	GO:0033554	P
recF	GO:0033554	P
recG	GO:0033554	P
recJ	GO:0033554	P
recN	GO:0033554	P
recO	GO:0033554	P
recQ	GO:0033554	P
recR	GO:0033554	P
recX	GO:0033554	P
relE	GO:0033554	P
rep	GO:0033554	P
rfbC	GO:0033554	P
rfbX	GO:0033554	P
rhsD	GO:0033554	P
rihC	GO:0033554	P
rimK	GO:0033554	P
rnhB	GO:0033554	P
rnt	GO:0033554	P
rplK	GO:0033554	P
rtcB	GO:0033554	P
rusA	GO:0033554	P
rutE	GO:0033554	P
ruvA	GO:0033554	P
ruvB	GO:0033554	P
ruvC	GO:0033554	P
sbcB	GO:0033554	P
sbcC	GO:0033554	P
sbcD	GO:0033554	P
sbmC	GO:0033554	P
sgbU	GO:0033554	P
solA	GO:0033554	P
ssb	GO:0033554	P
sseA	GO:0033554	P
ssuE	GO:0033554	P
sulA	GO:0033554	P
symE	GO:0033554	P
tag	GO:0033554	P
tas	GO:0033554	P
tauA	GO:0033554	P
tauB	GO:0033554	P
tauC	GO:0033554	P
thiH	GO:0033554	P
tisB	GO:0033554	P
treA	GO:0033554	P
treC	GO:0033554	P
udp	GO:0033554	P
umuC	GO:0033554	P
umuD	GO:0033554	P
ung	GO:0033554	P
uspC	GO:0033554	P
uvrA	GO:0033554	P
uvrB	GO:0033554	P
uvrC	GO:0033554	P
uvrD	GO:0033554	P
uxuA	GO:0033554	P
ves	GO:0033554	P
vsr	GO:0033554	P
waaH	GO:0033554	P
xthA	GO:0033554	P
yaaY	GO:0033554	P
yadC	GO:0033554	P
yafN	GO:0033554	P
yafO	GO:0033554	P
yafP	GO:0033554	P
yaiP	GO:0033554	P
yajL	GO:0033554	P
yajQ	GO:0033554	P
ybaM	GO:0033554	P
ybaV	GO:0033554	P
ybcM	GO:0033554	P
ybfE	GO:0033554	P
ybgI	GO:0033554	P
ybhR	GO:0033554	P
ybiJ	GO:0033554	P
ybiX	GO:0033554	P
ybjD	GO:0033554	P
ybjX	GO:0033554	P
ycdY	GO:0033554	P
yceK	GO:0033554	P
ycfL	GO:0033554	P
ycgB	GO:0033554	P
yciF	GO:0033554	P
yciT	GO:0033554	P
ycjU	GO:0033554	P
ycjW	GO:0033554	P
ydeM	GO:0033554	P
ydhQ	GO:0033554	P
ydiQ	GO:0033554	P
ydiZ	GO:0033554	P
ydjM	GO:0033554	P
yeaD	GO:0033554	P
yeaG	GO:0033554	P
yebG	GO:0033554	P
yebK	GO:0033554	P
yedF	GO:0033554	P
yegP	GO:0033554	P
yehB	GO:0033554	P
yfbU	GO:0033554	P
yfgI	GO:0033554	P
ygcW	GO:0033554	P
ygfI	GO:0033554	P
yggE	GO:0033554	P
yghG	GO:0033554	P
ygjK	GO:0033554	P
yhaC	GO:0033554	P
yhbO	GO:0033554	P
yhbQ	GO:0033554	P
yhcF	GO:0033554	P
yhcH	GO:0033554	P
yiaA	GO:0033554	P
yiaB	GO:0033554	P
yiaO	GO:0033554	P
yibA	GO:0033554	P
yibH	GO:0033554	P
yidQ	GO:0033554	P
yjeI	GO:0033554	P
yjhC	GO:0033554	P
yjiA	GO:0033554	P
yjiM	GO:0033554	P
yjiX	GO:0033554	P
yjjU	GO:0033554	P
ykfM	GO:0033554	P
ykgM	GO:0033554	P
ynhF	GO:0033554	P
yoaA	GO:0033554	P
yobF	GO:0033554	P
yohC	GO:0033554	P
yphB	GO:0033554	P
yqcG	GO:0033554	P
yqgF	GO:0033554	P
yqiH	GO:0033554	P
yqiJ	GO:0033554	P
yraJ	GO:0033554	P
yrfG	GO:0033554	P
zinT	GO:0033554	P
zraP	GO:0033554	P
zraS	GO:0033554	P
ahpC	GO:0042744	P
katE	GO:0042744	P
katG	GO:0042744	P
ahpC	GO:0045454	P
ahpF	GO:0045454	P
bcp	GO:0045454	P
ccmG	GO:0045454	P
cnoX	GO:0045454	P
cydC	GO:0045454	P
cydD	GO:0045454	P
dsbA	GO:0045454	P
dsbC	GO:0045454	P
dsbD	GO:0045454	P
gor	GO:0045454	P
grxA	GO:0045454	P
grxB	GO:0045454	P
grxC	GO:0045454	P
grxD	GO:0045454	P
lpd	GO:0045454	P
nrdH	GO:0045454	P
rclA	GO:0045454	P
sthA	GO:0045454	P
tpx	GO:0045454	P
trxA	GO:0045454	P
trxC	GO:0045454	P
ahpF	GO:0000302	P
ariR	GO:0000302	P
barA	GO:0000302	P
blc	GO:0000302	P
bsmA	GO:0000302	P
ccp	GO:0000302	P
fnr	GO:0000302	P
gstA	GO:0000302	P
hcp	GO:0000302	P
katG	GO:0000302	P
mdtK	GO:0000302	P
msrP	GO:0000302	P
norV	GO:0000302	P
norW	GO:0000302	P
pdeF	GO:0000302	P
rclA	GO:0000302	P
rclB	GO:0000302	P
rclC	GO:0000302	P
rpmF	GO:0000302	P
tatD	GO:0000302	P
tktA	GO:0000302	P
uspE	GO:0000302	P
ychH	GO:0000302	P
ydeI	GO:0000302	P
yfcF	GO:0000302	P
yggE	GO:0000302	P
ygiW	GO:0000302	P
yhcN	GO:0000302	P
yjaA	GO:0000302	P
yodD	GO:0000302	P
yqhD	GO:0000302	P
zinT	GO:0000302	P
ahpF	GO:0022900	P
appB	GO:0022900	P
appC	GO:0022900	P
azoR	GO:0022900	P
bisC	GO:0022900	P
ccp	GO:0022900	P
cybB	GO:0022900	P
cydA	GO:0022900	P
cydB	GO:0022900	P
cyoA	GO:0022900	P
cyoB	GO:0022900	P
cyoC	GO:0022900	P
cyoD	GO:0022900	P
dld	GO:0022900	P
dmsA	GO:0022900	P
dmsC	GO:0022900	P
dsbD	GO:0022900	P
fdhF	GO:0022900	P
fdnG	GO:0022900	P
fdnH	GO:0022900	P
fdnI	GO:0022900	P
fdoG	GO:0022900	P
fdoH	GO:0022900	P
fdoI	GO:0022900	P
fdx	GO:0022900	P
fixA	GO:0022900	P
fixB	GO:0022900	P
fldA	GO:0022900	P
fldB	GO:0022900	P
frdA	GO:0022900	P
frdB	GO:0022900	P
glpC	GO:0022900	P
glpD	GO:0022900	P
gor	GO:0022900	P
grxA	GO:0022900	P
grxB	GO:0022900	P
grxC	GO:0022900	P
grxD	GO:0022900	P
hcr	GO:0022900	P
hemG	GO:0022900	P
hyaA	GO:0022900	P
hyaB	GO:0022900	P
hyaC	GO:0022900	P
hycC	GO:0022900	P
hydN	GO:0022900	P
hyfB	GO:0022900	P
icd	GO:0022900	P
kefF	GO:0022900	P
kefG	GO:0022900	P
lpd	GO:0022900	P
msrQ	GO:0022900	P
napA	GO:0022900	P
napC	GO:0022900	P
narG	GO:0022900	P
narH	GO:0022900	P
narI	GO:0022900	P
narV	GO:0022900	P
narY	GO:0022900	P
narZ	GO:0022900	P
ndh	GO:0022900	P
norV	GO:0022900	P
nrdH	GO:0022900	P
nrfA	GO:0022900	P
nrfB	GO:0022900	P
nrfC	GO:0022900	P
nrfD	GO:0022900	P
nuoE	GO:0022900	P
nuoG	GO:0022900	P
nuoK	GO:0022900	P
nuoL	GO:0022900	P
nuoM	GO:0022900	P
nuoN	GO:0022900	P
paaE	GO:0022900	P
paoA	GO:0022900	P
rclA	GO:0022900	P
rsxA	GO:0022900	P
rsxB	GO:0022900	P
rsxC	GO:0022900	P
rsxD	GO:0022900	P
rsxE	GO:0022900	P
rsxG	GO:0022900	P
sdhA	GO:0022900	P
sdhB	GO:0022900	P
sdhC	GO:0022900	P
sdhD	GO:0022900	P
sthA	GO:0022900	P
torA	GO:0022900	P
torC	GO:0022900	P
torY	GO:0022900	P
torZ	GO:0022900	P
xdhC	GO:0022900	P
ycaK	GO:0022900	P
ycbX	GO:0022900	P
yceJ	GO:0022900	P
ydbK	GO:0022900	P
ydhU	GO:0022900	P
ydhV	GO:0022900	P
ydiQ	GO:0022900	P
ydiR	GO:0022900	P
yeaX	GO:0022900	P
yfaE	GO:0022900	P
ygcQ	GO:0022900	P
ygcR	GO:0022900	P
ynfE	GO:0022900	P
ynfF	GO:0022900	P
ynfH	GO:0022900	P
yodB	GO:0022900	P
ais	GO:0008653	P
arnA	GO:0008653	P
arnB	GO:0008653	P
arnC	GO:0008653	P
arnD	GO:0008653	P
arnE	GO:0008653	P
arnF	GO:0008653	P
arnT	GO:0008653	P
cpsB	GO:0008653	P
cpsG	GO:0008653	P
eptA	GO:0008653	P
eptB	GO:0008653	P
eptC	GO:0008653	P
etk	GO:0008653	P
fepE	GO:0008653	P
galF	GO:0008653	P
glf	GO:0008653	P
glmU	GO:0008653	P
gmhA	GO:0008653	P
gmhB	GO:0008653	P
gmm	GO:0008653	P
gutQ	GO:0008653	P
hldE	GO:0008653	P
kdsA	GO:0008653	P
kdsB	GO:0008653	P
kdsC	GO:0008653	P
kdsD	GO:0008653	P
lapA	GO:0008653	P
lapB	GO:0008653	P
lpxL	GO:0008653	P
lpxM	GO:0008653	P
lpxP	GO:0008653	P
lpxT	GO:0008653	P
rfaD	GO:0008653	P
rfbA	GO:0008653	P
rfbB	GO:0008653	P
rfbC	GO:0008653	P
rfbD	GO:0008653	P
rfbX	GO:0008653	P
rfe	GO:0008653	P
rffG	GO:0008653	P
ugd	GO:0008653	P
waaA	GO:0008653	P
waaB	GO:0008653	P
waaC	GO:0008653	P
waaF	GO:0008653	P
waaG	GO:0008653	P
waaJ	GO:0008653	P
waaL	GO:0008653	P
waaO	GO:0008653	P
waaP	GO:0008653	P
waaQ	GO:0008653	P
waaS	GO:0008653	P
waaU	GO:0008653	P
waaY	GO:0008653	P
waaZ	GO:0008653	P
wbbH	GO:0008653	P
wbbI	GO:0008653	P
wbbJ	GO:0008653	P
wbbK	GO:0008653	P
wcaA	GO:0008653	P
wcaB	GO:0008653	P
wcaC	GO:0008653	P
wcaD	GO:0008653	P
wcaE	GO:0008653	P
wcaF	GO:0008653	P
wcaI	GO:0008653	P
wcaJ	GO:0008653	P
wcaK	GO:0008653	P
wcaL	GO:0008653	P
wcaM	GO:0008653	P
wzc	GO:0008653	P
wzxC	GO:0008653	P
wzzB	GO:0008653	P
wzzE	GO:0008653	P
alaA	GO:0006523	P
alaC	GO:0006523	P
avtA	GO:0006523	P
panD	GO:0006523	P
aas	GO:0009058	P
acpP	GO:0009058	P
ahpC	GO:0009058	P
alaA	GO:0009058	P
alaC	GO:0009058	P
arnA	GO:0009058	P
arnB	GO:0009058	P
arnC	GO:0009058	P
arnD	GO:0009058	P
arnE	GO:0009058	P
arnF	GO:0009058	P
arnT	GO:0009058	P
aroF	GO:0009058	P
aroG	GO:0009058	P
aroH	GO:0009058	P
aspC	GO:0009058	P
avtA	GO:0009058	P
bioA	GO:0009058	P
bioB	GO:0009058	P
bioC	GO:0009058	P
bioD	GO:0009058	P
bioD2	GO:0009058	P
bioF	GO:0009058	P
bioH	GO:0009058	P
birA	GO:0009058	P
btuR	GO:0009058	P
cdh	GO:0009058	P
cdsA	GO:0009058	P
citC	GO:0009058	P
citG	GO:0009058	P
citX	GO:0009058	P
clsA	GO:0009058	P
clsB	GO:0009058	P
clsC	GO:0009058	P
coaA	GO:0009058	P
coaD	GO:0009058	P
coaE	GO:0009058	P
cobC	GO:0009058	P
cobS	GO:0009058	P
cobT	GO:0009058	P
cobU	GO:0009058	P
cpsB	GO:0009058	P
csdA	GO:0009058	P
cvpA	GO:0009058	P
cyaY	GO:0009058	P
cyoE	GO:0009058	P
cysC	GO:0009058	P
cysD	GO:0009058	P
cysG	GO:0009058	P
cysH	GO:0009058	P
cysI	GO:0009058	P
cysJ	GO:0009058	P
cysN	GO:0009058	P
dcuA	GO:0009058	P
dfp	GO:0009058	P
dgkA	GO:0009058	P
dkgA	GO:0009058	P
dkgB	GO:0009058	P
dxr	GO:0009058	P
dxs	GO:0009058	P
elbB	GO:0009058	P
entA	GO:0009058	P
entC	GO:0009058	P
entE	GO:0009058	P
entF	GO:0009058	P
epd	GO:0009058	P
eptA	GO:0009058	P
eptB	GO:0009058	P
erpA	GO:0009058	P
eutT	GO:0009058	P
fabG	GO:0009058	P
fabI	GO:0009058	P
fabZ	GO:0009058	P
fadD	GO:0009058	P
fau	GO:0009058	P
fdhD	GO:0009058	P
fdx	GO:0009058	P
fliI	GO:0009058	P
fmt	GO:0009058	P
folA	GO:0009058	P
folB	GO:0009058	P
folC	GO:0009058	P
folE	GO:0009058	P
folK	GO:0009058	P
folM	GO:0009058	P
folP	GO:0009058	P
fpr	GO:0009058	P
galF	GO:0009058	P
galU	GO:0009058	P
ggt	GO:0009058	P
glgC	GO:0009058	P
glmU	GO:0009058	P
gltX	GO:0009058	P
gpsA	GO:0009058	P
gshA	GO:0009058	P
gshB	GO:0009058	P
hemA	GO:0009058	P
hemB	GO:0009058	P
hemC	GO:0009058	P
hemD	GO:0009058	P
hemE	GO:0009058	P
hemF	GO:0009058	P
hemG	GO:0009058	P
hemH	GO:0009058	P
hemL	GO:0009058	P
hemN	GO:0009058	P
hemW	GO:0009058	P
hemY	GO:0009058	P
hisC	GO:0009058	P
hldE	GO:0009058	P
hscA	GO:0009058	P
hypB	GO:0009058	P
idi	GO:0009058	P
iscA	GO:0009058	P
iscS	GO:0009058	P
iscU	GO:0009058	P
iscX	GO:0009058	P
ispA	GO:0009058	P
ispB	GO:0009058	P
ispD	GO:0009058	P
ispE	GO:0009058	P
ispF	GO:0009058	P
ispG	GO:0009058	P
ispH	GO:0009058	P
kbl	GO:0009058	P
kdsA	GO:0009058	P
lipA	GO:0009058	P
lipB	GO:0009058	P
lpxA	GO:0009058	P
lpxB	GO:0009058	P
lpxC	GO:0009058	P
lpxD	GO:0009058	P
lpxH	GO:0009058	P
lpxK	GO:0009058	P
lpxL	GO:0009058	P
lpxM	GO:0009058	P
lpxP	GO:0009058	P
lpxT	GO:0009058	P
malY	GO:0009058	P
menF	GO:0009058	P
metF	GO:0009058	P
metK	GO:0009058	P
moaA	GO:0009058	P
moaB	GO:0009058	P
moaC	GO:0009058	P
moaD	GO:0009058	P
moaE	GO:0009058	P
mobA	GO:0009058	P
mobB	GO:0009058	P
mocA	GO:0009058	P
moeA	GO:0009058	P
moeB	GO:0009058	P
mog	GO:0009058	P
mpl	GO:0009058	P
mrp	GO:0009058	P
murC	GO:0009058	P
murD	GO:0009058	P
murE	GO:0009058	P
murF	GO:0009058	P
nadA	GO:0009058	P
nadB	GO:0009058	P
nadC	GO:0009058	P
nadD	GO:0009058	P
nadE	GO:0009058	P
nadR	GO:0009058	P
napA	GO:0009058	P
nfuA	GO:0009058	P
nudB	GO:0009058	P
pabA	GO:0009058	P
pabB	GO:0009058	P
pabC	GO:0009058	P
pagP	GO:0009058	P
panB	GO:0009058	P
panC	GO:0009058	P
panD	GO:0009058	P
panE	GO:0009058	P
panZ	GO:0009058	P
pdxA	GO:0009058	P
pdxB	GO:0009058	P
pdxH	GO:0009058	P
pdxJ	GO:0009058	P
pdxK	GO:0009058	P
pdxY	GO:0009058	P
pgpA	GO:0009058	P
pgpB	GO:0009058	P
pgpC	GO:0009058	P
pgsA	GO:0009058	P
plsB	GO:0009058	P
plsC	GO:0009058	P
plsX	GO:0009058	P
plsY	GO:0009058	P
pncA	GO:0009058	P
pncB	GO:0009058	P
pncC	GO:0009058	P
ppk	GO:0009058	P
prs	GO:0009058	P
psd	GO:0009058	P
pssA	GO:0009058	P
purC	GO:0009058	P
purN	GO:0009058	P
purU	GO:0009058	P
rfbA	GO:0009058	P
rffH	GO:0009058	P
rffM	GO:0009058	P
ribF	GO:0009058	P
serC	GO:0009058	P
sufA	GO:0009058	P
sufB	GO:0009058	P
sufC	GO:0009058	P
sufD	GO:0009058	P
sufE	GO:0009058	P
sufS	GO:0009058	P
thiC	GO:0009058	P
thiD	GO:0009058	P
thiE	GO:0009058	P
thiF	GO:0009058	P
thiG	GO:0009058	P
thiH	GO:0009058	P
thiI	GO:0009058	P
thiK	GO:0009058	P
thiL	GO:0009058	P
thiM	GO:0009058	P
thiS	GO:0009058	P
trpD	GO:0009058	P
trpE	GO:0009058	P
tusA	GO:0009058	P
tyrB	GO:0009058	P
ubiX	GO:0009058	P
uppS	GO:0009058	P
waaA	GO:0009058	P
xapA	GO:0009058	P
yaeI	GO:0009058	P
yajO	GO:0009058	P
ybdL	GO:0009058	P
ybdZ	GO:0009058	P
ydcR	GO:0009058	P
yddE	GO:0009058	P
yegS	GO:0009058	P
yfdG	GO:0009058	P
ygfZ	GO:0009058	P
yhfS	GO:0009058	P
yjiR	GO:0009058	P
ynbA	GO:0009058	P
ynfK	GO:0009058	P
ynjF	GO:0009058	P
yqeC	GO:0009058	P
ytfE	GO:0009058	P
alaA	GO:0019272	P
alaC	GO:0019272	P
alaA	GO:0030632	P
alaC	GO:0030632	P
alr	GO:0030632	P
avtA	GO:0030632	P
dadX	GO:0030632	P
alaE	GO:0015808	P
cycA	GO:0015808	P
livG	GO:0015808	P
livH	GO:0015808	P
alaE	GO:0032973	P
bcr	GO:0032973	P
cydC	GO:0032973	P
cydD	GO:0032973	P
eamA	GO:0032973	P
eamB	GO:0032973	P
alaE	GO:1902475	P
brnQ	GO:1902475	P
cadB	GO:1902475	P
dauA	GO:1902475	P
dctA	GO:1902475	P
dcuA	GO:1902475	P
frlA	GO:1902475	P
gltI	GO:1902475	P
gltP	GO:1902475	P
gltS	GO:1902475	P
hisP	GO:1902475	P
hisQ	GO:1902475	P
leuE	GO:1902475	P
livF	GO:1902475	P
livG	GO:1902475	P
livH	GO:1902475	P
livM	GO:1902475	P
lysO	GO:1902475	P
metI	GO:1902475	P
metN	GO:1902475	P
potE	GO:1902475	P
ygaH	GO:1902475	P
ygaZ	GO:1902475	P
yjeH	GO:1902475	P
alaS	GO:0006400	P
cmoA	GO:0006400	P
cmoB	GO:0006400	P
cmoM	GO:0006400	P
csdE	GO:0006400	P
dusA	GO:0006400	P
dusB	GO:0006400	P
dusC	GO:0006400	P
fmt	GO:0006400	P
gluQ	GO:0006400	P
iscS	GO:0006400	P
miaA	GO:0006400	P
miaB	GO:0006400	P
mnmA	GO:0006400	P
mnmC	GO:0006400	P
mnmE	GO:0006400	P
mnmG	GO:0006400	P
queA	GO:0006400	P
rimO	GO:0006400	P
rlmN	GO:0006400	P
rluA	GO:0006400	P
rluF	GO:0006400	P
selD	GO:0006400	P
selU	GO:0006400	P
tadA	GO:0006400	P
tcdA	GO:0006400	P
tgt	GO:0006400	P
thiI	GO:0006400	P
tilS	GO:0006400	P
tmcA	GO:0006400	P
trmA	GO:0006400	P
trmD	GO:0006400	P
trmH	GO:0006400	P
trmI	GO:0006400	P
trmJ	GO:0006400	P
trmL	GO:0006400	P
trmO	GO:0006400	P
truA	GO:0006400	P
truB	GO:0006400	P
truC	GO:0006400	P
truD	GO:0006400	P
tsaB	GO:0006400	P
tsaC	GO:0006400	P
tsaD	GO:0006400	P
tsaE	GO:0006400	P
ttcA	GO:0006400	P
tusA	GO:0006400	P
tusB	GO:0006400	P
tusC	GO:0006400	P
tusD	GO:0006400	P
tusE	GO:0006400	P
yfiC	GO:0006400	P
yfjP	GO:0006400	P
yjtD	GO:0006400	P
ykfA	GO:0006400	P
alaS	GO:0006412	P
argS	GO:0006412	P
asnS	GO:0006412	P
aspS	GO:0006412	P
bipA	GO:0006412	P
cysS	GO:0006412	P
def	GO:0006412	P
efp	GO:0006412	P
ettA	GO:0006412	P
fmt	GO:0006412	P
frr	GO:0006412	P
fusA	GO:0006412	P
glnS	GO:0006412	P
gltX	GO:0006412	P
glyQ	GO:0006412	P
glyS	GO:0006412	P
hisS	GO:0006412	P
ileS	GO:0006412	P
infA	GO:0006412	P
infB	GO:0006412	P
infC	GO:0006412	P
lepA	GO:0006412	P
leuS	GO:0006412	P
lysS	GO:0006412	P
lysU	GO:0006412	P
metG	GO:0006412	P
pheS	GO:0006412	P
pheT	GO:0006412	P
prfA	GO:0006412	P
prfB	GO:0006412	P
prfC	GO:0006412	P
proS	GO:0006412	P
pth	GO:0006412	P
radD	GO:0006412	P
rimK	GO:0006412	P
rimP	GO:0006412	P
rplA	GO:0006412	P
rplB	GO:0006412	P
rplC	GO:0006412	P
rplD	GO:0006412	P
rplE	GO:0006412	P
rplF	GO:0006412	P
rplI	GO:0006412	P
rplJ	GO:0006412	P
rplK	GO:0006412	P
rplL	GO:0006412	P
rplM	GO:0006412	P
rplN	GO:0006412	P
rplO	GO:0006412	P
rplP	GO:0006412	P
rplQ	GO:0006412	P
rplR	GO:0006412	P
rplS	GO:0006412	P
rplT	GO:0006412	P
rplU	GO:0006412	P
rplV	GO:0006412	P
rplW	GO:0006412	P
rplX	GO:0006412	P
rplY	GO:0006412	P
rpmA	GO:0006412	P
rpmB	GO:0006412	P
rpmC	GO:0006412	P
rpmD	GO:0006412	P
rpmE	GO:0006412	P
rpmF	GO:0006412	P
rpmG	GO:0006412	P
rpmH	GO:0006412	P
rpmI	GO:0006412	P
rpmJ	GO:0006412	P
rpsA	GO:0006412	P
rpsB	GO:0006412	P
rpsC	GO:0006412	P
rpsD	GO:0006412	P
rpsE	GO:0006412	P
rpsF	GO:0006412	P
rpsG	GO:0006412	P
rpsH	GO:0006412	P
rpsI	GO:0006412	P
rpsJ	GO:0006412	P
rpsK	GO:0006412	P
rpsL	GO:0006412	P
rpsM	GO:0006412	P
rpsN	GO:0006412	P
rpsO	GO:0006412	P
rpsP	GO:0006412	P
rpsQ	GO:0006412	P
rpsR	GO:0006412	P
rpsS	GO:0006412	P
rpsT	GO:0006412	P
rpsU	GO:0006412	P
selA	GO:0006412	P
selB	GO:0006412	P
serS	GO:0006412	P
sra	GO:0006412	P
thrS	GO:0006412	P
trpS	GO:0006412	P
tsf	GO:0006412	P
tufA	GO:0006412	P
tufB	GO:0006412	P
tyrS	GO:0006412	P
valS	GO:0006412	P
ybaK	GO:0006412	P
ybcJ	GO:0006412	P
ybeY	GO:0006412	P
yciH	GO:0006412	P
yhgF	GO:0006412	P
ykgM	GO:0006412	P
ykgO	GO:0006412	P
alaS	GO:0006419	P
alaS	GO:0043039	P
argS	GO:0043039	P
asnS	GO:0043039	P
aspS	GO:0043039	P
cysS	GO:0043039	P
epmA	GO:0043039	P
glnS	GO:0043039	P
gltX	GO:0043039	P
gluQ	GO:0043039	P
glyQ	GO:0043039	P
glyS	GO:0043039	P
hisS	GO:0043039	P
ileS	GO:0043039	P
leuS	GO:0043039	P
lysS	GO:0043039	P
lysU	GO:0043039	P
metG	GO:0043039	P
pheS	GO:0043039	P
pheT	GO:0043039	P
proS	GO:0043039	P
serS	GO:0043039	P
thrS	GO:0043039	P
trpS	GO:0043039	P
tyrS	GO:0043039	P
uup	GO:0043039	P
valS	GO:0043039	P
alaS	GO:0106074	P
dtd	GO:0106074	P
ileS	GO:0106074	P
leuS	GO:0106074	P
proS	GO:0106074	P
thrS	GO:0106074	P
valS	GO:0106074	P
ybaK	GO:0106074	P
yeaK	GO:0106074	P
aldA	GO:0019301	P
fucK	GO:0019301	P
fucO	GO:0019301	P
rhaA	GO:0019301	P
rhaB	GO:0019301	P
rhaD	GO:0019301	P
rhaM	GO:0019301	P
aldA	GO:0042355	P
fucA	GO:0042355	P
fucI	GO:0042355	P
fucK	GO:0042355	P
fucO	GO:0042355	P
lldD	GO:0042355	P
aldA	GO:0051289	P
ansB	GO:0051289	P
araD	GO:0051289	P
atoB	GO:0051289	P
betB	GO:0051289	P
cmoB	GO:0051289	P
csrD	GO:0051289	P
entA	GO:0051289	P
fabI	GO:0051289	P
fbp	GO:0051289	P
feaB	GO:0051289	P
fhlA	GO:0051289	P
gabD	GO:0051289	P
galU	GO:0051289	P
glaH	GO:0051289	P
glgC	GO:0051289	P
glsA	GO:0051289	P
gmhA	GO:0051289	P
gpt	GO:0051289	P
guaB	GO:0051289	P
hdhA	GO:0051289	P
hpt	GO:0051289	P
ilvC	GO:0051289	P
kbaY	GO:0051289	P
kch	GO:0051289	P
kdsA	GO:0051289	P
menE	GO:0051289	P
metC	GO:0051289	P
metF	GO:0051289	P
nadR	GO:0051289	P
nagA	GO:0051289	P
nikR	GO:0051289	P
norV	GO:0051289	P
patD	GO:0051289	P
patZ	GO:0051289	P
pepP	GO:0051289	P
pfkA	GO:0051289	P
poxB	GO:0051289	P
ppnN	GO:0051289	P
pykA	GO:0051289	P
pykF	GO:0051289	P
pyrG	GO:0051289	P
rapZ	GO:0051289	P
rhaA	GO:0051289	P
rihA	GO:0051289	P
rihB	GO:0051289	P
rne	GO:0051289	P
ruvA	GO:0051289	P
seqA	GO:0051289	P
speG	GO:0051289	P
ssuE	GO:0051289	P
tauD	GO:0051289	P
tdcB	GO:0051289	P
tnaA	GO:0051289	P
uidA	GO:0051289	P
wrbA	GO:0051289	P
ydfG	GO:0051289	P
ydiF	GO:0051289	P
yeiG	GO:0051289	P
yfcE	GO:0051289	P
yihU	GO:0051289	P
alkA	GO:0006284	P
mutM	GO:0006284	P
mutY	GO:0006284	P
nei	GO:0006284	P
nfo	GO:0006284	P
nth	GO:0006284	P
polA	GO:0006284	P
tag	GO:0006284	P
ung	GO:0006284	P
alkA	GO:0006285	P
mug	GO:0006285	P
mutM	GO:0006285	P
nth	GO:0006285	P
ung	GO:0006285	P
alkB	GO:0035552	P
alkB	GO:0035553	P
alkB	GO:0042245	P
cca	GO:0042245	P
hchA	GO:0042245	P
rtcB	GO:0042245	P
alkB	GO:0070989	P
