node	function
appA	1,1.8
appB	1,1.4,1.4.2
appB	6,6.1
appC	1,1.4,1.4.2
appC	6,6.1
appY	2,2.2,2.2.2
appY	3,3.1,3.1.2,3.1.2.2
appY	3,3.3,3.3.3
appY	5,5.5,5.5.3
appY	8,8.1
apt	1,1.7,1.7.33
aqpZ	4,4.1,4.1.A
aqpZ	5,5.5,5.5.1
aqpZ	6,6.1
araA	1,1.1,1.1.1
araB	1,1.1,1.1.1
araC	1,1.1,1.1.1
araC	2,2.2,2.2.2
araC	3,3.1,3.1.2,3.1.2.2
araC	3,3.1,3.1.2,3.1.2.3
araC	3,3.3,3.3.1
araD	1,1.1,1.1.1
araE	1,1.1,1.1.1
araE	4,4.2,4.2.A
araE	6,6.1
araF	1,1.1,1.1.1
araF	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
araG	1,1.1,1.1.1
araG	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
araH	1,1.1,1.1.1
araH	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
araH	6,6.1
araJ	1,1.1,1.1.1
araJ	4,4.2,4.2.A
araJ	6,6.1
arcA	2,2.2,2.2.2
arcA	3,3.1,3.1.2,3.1.2.2
arcA	3,3.1,3.1.2,3.1.2.3
arcA	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
arcA	3,3.3,3.3.1
arcA	5,5.5,5.5.6
arcB	2,2.3,2.3.3
arcB	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
arcB	6,6.1
arcZ	2,2.2
arfA	2,2.3,2.3.2
arfB	2,2.3,2.3.2
argA	1,1.5,1.5.1,1.5.1.3
argB	1,1.5,1.5.1,1.5.1.3
argC	1,1.5,1.5.1,1.5.1.3
argD	1,1.5,1.5.1,1.5.1.3
argD	1,1.5,1.5.1,1.5.1.7
argE	1,1.5,1.5.1,1.5.1.3
argF	1,1.5,1.5.1,1.5.1.3
argF	8,8.1
argG	1,1.5,1.5.1,1.5.1.3
argH	1,1.5,1.5.1,1.5.1.3
argI	1,1.5,1.5.1,1.5.1.3
argO	4,4.2,4.2.A
argP	2,2.1,2.1.1
argP	2,2.2,2.2.2
argP	2,2.3,2.3.7
argP	3,3.1,3.1.2,3.1.2.2
argP	3,3.3,3.3.1
argQ	2,2.2,2.2.5
argR	1,1.5,1.5.1,1.5.1.3
argR	2,2.2,2.2.2
argR	3,3.1,3.1.2,3.1.2.2
argR	3,3.1,3.1.2,3.1.2.3
argS	2,2.3,2.3.1
argT	1,1.5,1.5.1,1.5.1.3
argT	1,1.5,1.5.1,1.5.1.7
argT	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
argU	2,2.2,2.2.5
argV	2,2.2,2.2.5
argW	2,2.2,2.2.5
argX	2,2.2,2.2.5
argY	2,2.2,2.2.5
argZ	2,2.2,2.2.5
ariR	3,3.1,3.1.4
ariR	5,5.5,5.5.4
ariR	5,5.5,5.5.6
arnA	1,1.6,1.6.3,1.6.3.3
arnA	5,5.6,5.6.4
arnB	1,1.6,1.6.3,1.6.3.3
arnB	5,5.6,5.6.4
arnC	1,1.6,1.6.3,1.6.3.3
arnE	4,4.9.A
arnE	6,6.1
arnF	4,4.9.B
arnF	6,6.1
arnT	1,1.6,1.6.3,1.6.3.3
aroA	1,1.5,1.5.1,1.5.1.20
aroB	1,1.5,1.5.1,1.5.1.20
