node	function
csqR	3,3.1,3.1.2,3.1.2.3
csqR	3,3.3,3.3.2
csrA	1,1.1,1.1.1
csrA	1,1.3,1.3.1
csrA	1,1.6,1.6.9
csrA	1,1.7
csrA	2,2.2,2.2.4
csrA	3,3.1,3.1.3,3.1.3.1
csrA	3,3.3,3.3.4
csrA	5,5.3
csrB	2,2.2,2.2.4
csrB	3,3.1,3.1.3
csrC	2,2.2
csrD	3,3.1,3.1.3
cstA	5,5.5,5.5.3
cstA	6,6.1
cueO	1
cueO	5,5.5,5.5.6
cueO	5,5.6,5.6.2
cueR	2,2.2,2.2.2
cueR	3,3.1,3.1.2,3.1.2.2
cueR	3,3.1,3.1.2,3.1.2.3
cusA	4,4.2,4.2.A
cusA	6,6.1
cusB	4,4.8.A
cusB	5,5.6,5.6.4
cusC	6,6.1
cusC	8,8.3
cusF	4
cusF	5,5.5
cusR	2,2.2,2.2.2
cusR	3,3.1,3.1.2,3.1.2.2
cusS	2,2.3,2.3.3
cusS	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
cusS	3,3.1,3.1.3,3.1.3.2
cutA	5,5.5,5.5.6
cvpA	6,6.1
cvpA	8,8.4
cvrA	4,4.2,4.2.A
cvrA	6,6.1
cyaA	3,3.1,3.1.3,3.1.3.3
cyaR	2,2.2,2.2.7
cyaR	3,3.1,3.1.3,3.1.3.6
cyaY	1,1.7,1.7.19
cybB	1,1.4,1.4.3
cybB	1,1.6,1.6.15,1.6.15.1
cycA	4,4.2,4.2.A
cycA	6,6.1
cydA	1,1.4,1.4.2
cydA	6,6.1
cydB	1,1.4,1.4.2
cydB	6,6.1
cydC	4,4.3,4.3.A,4.3.A.1,4.3.A.1.am
cydC	6,6.1
cydD	4,4.3,4.3.A,4.3.A.1,4.3.A.1.am
cydD	6,6.1
cynR	1,1.7,1.7.1
cynR	2,2.2,2.2.2
cynR	3,3.1,3.1.2,3.1.2.2
cynR	3,3.1,3.1.2,3.1.2.3
cynR	3,3.3,3.3.1
cynR	5,5.6,5.6.2
cynS	1,1.7,1.7.24
cynS	1,1.8,1.8.3
cynS	5,5.6,5.6.2
cynT	1,1.7,1.7.24
cynT	1,1.8,1.8.3
cynX	1,1.7,1.7.24
cynX	4,4.2,4.2.A
cynX	5,5.6,5.6.2
cynX	6,6.1
cyoA	1,1.3,1.3.6
cyoA	1,1.4,1.4.2
cyoA	4,4.3,4.3.D
cyoA	6,6.1
cyoB	1,1.3,1.3.6
cyoB	1,1.4,1.4.2
cyoB	4,4.3,4.3.D
cyoB	6,6.1
cyoC	1,1.3,1.3.6
cyoC	1,1.4,1.4.2
cyoC	4,4.3,4.3.D
cyoC	6,6.1
cyoD	1,1.3,1.3.6
cyoD	1,1.4,1.4.2
cyoD	6,6.1
cyoE	1,1.3,1.3.6
cyoE	6,6.1
cysA	1,1.8,1.8.2
cysA	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
cysA	5,5.6,5.6.4
cysB	1,1.5,1.5.1,1.5.1.12
cysB	2,2.2,2.2.2
cysB	3,3.1,3.1.2,3.1.2.2
cysB	3,3.1,3.1.2,3.1.2.3
cysB	3,3.3,3.3.2
cysC	1,1.8,1.8.2
cysD	1,1.8,1.8.2
cysE	1,1.5,1.5.1,1.5.1.12
cysG	1,1.5,1.5.3,1.5.3.12
cysH	1,1.8,1.8.2
cysI	1,1.8,1.8.2
cysJ	1,1.8,1.8.2
cysK	1,1.5,1.5.1,1.5.1.12
cysM	1,1.5,1.5.1,1.5.1.12
cysN	1,1.8,1.8.2
cysP	1,1.8,1.8.2
cysP	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
cysQ	1,1.5,1.5.4
cysQ	1,1.8,1.8.2
cysS	2,2.3,2.3.1
cysT	2,2.2,2.2.5
cysU	1,1.8,1.8.2
cysU	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
cysU	6,6.1
cysW	1,1.8,1.8.2
cysW	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
cysW	6,6.1
cysZ	1,1.8,1.8.2
cysZ	6,6.1
cytR	1,1.7,1.7.33
cytR	2,2.2,2.2.2
cytR	3,3.1,3.1.2,3.1.2.2
cytR	3,3.1,3.1.2,3.1.2.3
cytR	3,3.3,3.3.2
cyuA	5,5.6,5.6.2
cyuP	4,4.2,4.2.A
cyuP	6,6.1
dacA	1,1.6,1.6.7
dacA	5,5.1
dacA	5,5.6,5.6.4
dacB	1,1.6,1.6.7
dacB	5,5.6,5.6.4
dacB	6,6.2
dacC	1,1.6,1.6.7
dacD	1,1.6,1.6.7
dadA	1,1.1,1.1.3
dadX	1,1.1,1.1.3
dadX	1,1.5,1.5.1,1.5.1.17
dam	2,2.1,2.1.1
dam	2,2.1,2.1.4
dam	3,3.1,3.1.1,3.1.1.2
damX	5,5.1
damX	6,6.1
dapA	1,1.5,1.5.1,1.5.1.7
dapB	1,1.5,1.5.1,1.5.1.7
dapB	6,6.2
dapD	1,1.5,1.5.1,1.5.1.7
dapE	1,1.5,1.5.1,1.5.1.7
dapF	1,1.5,1.5.1,1.5.1.7
dauA	4,4.9.A
dauA	6,6.1
dbpA	6,6.6
dcd	1,1.7,1.7.33
dcm	2,2.1,2.1.2
dcm	3,3.1,3.1.1,3.1.1.2
dcp	1,1.2,1.2.3
dcp	2,2.3,2.3.6
dctA	1,1.1,1.1.1
dctA	3,3.1,3.1.4
dctA	4,4.2,4.2.A
dctA	6,6.1
dctR	3,3.1,3.1.4
dctR	5,5.5,5.5.4
dcuA	1,1.1,1.1.1
dcuA	4,4.2,4.2.A
dcuA	6,6.1
dcuB	1,1.1,1.1.1
dcuB	4,4.2,4.2.A
dcuB	6,6.1
dcuC	1,1.1,1.1.1
dcuC	4,4.2,4.2.A
dcuC	6,6.1
dcuD	4,4.2,4.2.A
dcuD	6,6.1
dcuR	1,1.3,1.3.7
dcuR	2,2.2,2.2.2
dcuR	3,3.1,3.1.2,3.1.2.2
dcuR	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
dcuS	1,1.3,1.3.7
dcuS	2,2.3,2.3.3
dcuS	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
dcuS	3,3.1,3.1.3,3.1.3.2
dcyD	1,1.5,1.5.1,1.5.1.18
dcyD	1,1.5,1.5.1,1.5.1.19
dcyD	1,1.8,1.8.2
ddlA	1,1.6,1.6.7
ddlA	6,6.2
ddlB	1,1.6,1.6.7
ddlB	6,6.2
ddpA	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
ddpB	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
ddpB	6,6.1
ddpC	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
ddpC	6,6.1
ddpD	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
ddpF	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
ddpX	1,1.1,1.1.5
ddpX	1,1.2,1.2.3
ddpX	1,1.6,1.6.7
ddpX	2,2.3,2.3.6
ddpX	5,5.5,5.5.1
ddpX	5,5.5,5.5.3
deaD	6,6.6
decR	2,2.2,2.2.2
decR	3,3.1,3.1.2,3.1.2.2
decR	3,3.1,3.1.2,3.1.2.3
def	2,2.3,2.3.3
degP	1,1.2,1.2.3
degP	2,2.3,2.3.6
degP	5,5.5,5.5.2
degP	5,5.5,5.5.6
degQ	1,1.2,1.2.3
degQ	2,2.3,2.3.6
degS	1,1.2,1.2.3
degS	2,2.3,2.3.6
degS	3,3.1,3.1.3,3.1.3.4
deoA	1,1.7,1.7.33
deoB	1,1.7,1.7.33
deoC	1,1.7,1.7.33
deoD	1,1.1
deoD	1,1.7,1.7.33
deoR	1,1.7,1.7.33
deoR	2,2.2,2.2.2
deoR	3,3.1,3.1.2,3.1.2.3
deoR	3,3.3,3.3.1
der	6,6.6
dfp	1,1.5,1.5.3,1.5.3.5
dgcC	3,3.1,3.1.4
dgcC	6,6.1
dgcE	5,5.3
dgcJ	5,5.3
dgcM	2,2.2,2.2.2
dgcN	5,5.3
dgcQ	5,5.3
dgcT	5,5.3
dgcZ	5,5.3
dgkA	1,1.5,1.5.4
dgkA	1,1.6,1.6.1
dgkA	6,6.1
dgoA	1,1.1,1.1.1
dgoD	1,1.1,1.1.1
dgoK	1,1.1,1.1.1
dgoR	1,1.1,1.1.1
dgoR	2,2.2,2.2.2
dgoR	3,3.1,3.1.2,3.1.2.3
dgoR	3,3.3,3.3.1
dgoT	4,4.2,4.2.A
dgoT	6,6.1
dgt	1,1.7,1.7.33
dhaK	1,1.1,1.1.1
dhaL	1,1.1,1.1.1
dhaM	1,1.1,1.1.1
dhaR	2,2.2,2.2.2
dhaR	3,3.1,3.1.2,3.1.2.2
dhaR	3,3.1,3.1.2,3.1.2.3
dhaR	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
diaA	2,2.1,2.1.1
diaA	5,5.2
dicA	2,2.2,2.2.2
dicA	3,3.1,3.1.2,3.1.2.3
dicA	8,8.1
dicB	5,5.2
dicB	8,8.1
dicC	8,8.1
dicF	2,2.2,2.2.7
dicF	3,3.1,3.1.3,3.1.3.6
dicF	5,5.1
dicF	5,5.2
dicF	8,8.1
dinB	2,2.1,2.1.1
dinB	5,5.8
dinD	2,2.1,2.1.4
dinF	2,2.1,2.1.4
dinF	4,4.2,4.2.A
dinF	5,5.6,5.6.1
dinF	5,5.8
dinF	6,6.1
dinG	2,2.1
dinG	2,2.1,2.1.4
dinG	3,3.1,3.1.1,3.1.1.1
dinG	5,5.8
dinI	2,2.1,2.1.4
dinI	5,5.8
dinJ	5,5.6,5.6.3
dinQ	6,6.1
djlA	2,2.3,2.3.4
djlB	2,2.3,2.3.4
djlC	2,2.3,2.3.4
dkgA	1,1.1,1.1.1
dkgA	1,1.7,1.7.23
dkgB	1,1.1,1.1.1
dkgB	1,1.7,1.7.23
dkgB	5,5.6,5.6.2
dksA	2,2.3,2.3.2
dksA	3,3.1,3.1.3,3.1.3.1
dksA	5,5.5,5.5.3
dld	1,1.3,1.3.6
dld	1,1.4,1.4.1
dld	6,6.1
dmlA	1,1.1,1.1.1
dmlR	2,2.2,2.2.2
dmlR	3,3.1,3.1.2
dmsA	1,1.3,1.3.7
dmsA	1,1.4,1.4.2
dmsA	6,6.1
dmsB	1,1.3,1.3.7
dmsB	1,1.4,1.4.2
dmsB	6,6.1
dmsC	1,1.3,1.3.7
dmsC	1,1.4,1.4.2
dmsC	6,6.1
dmsD	1,1.4,1.4.2
dnaA	2,2.1,2.1.1
dnaA	2,2.2,2.2.2
dnaA	2,2.3,2.3.7
dnaA	3,3.1,3.1.2,3.1.2.2
dnaA	3,3.1,3.1.2,3.1.2.3
dnaA	3,3.3,3.3.2
dnaB	2,2.1,2.1.1
dnaC	2,2.1,2.1.1
dnaC	5,5.1
dnaE	2,2.1,2.1.1
dnaG	2,2.1,2.1.1
dnaJ	2,2.3,2.3.4
dnaK	2,2.3,2.3.4
dnaK	5,5.1
dnaK	5,5.5,5.5.1
dnaN	2,2.1,2.1.1
dnaQ	2,2.1,2.1.1
dnaQ	2,2.3,2.3.4
dnaT	2,2.1,2.1.1
dnaX	2,2.1,2.1.1
dosC	3
dosC	5,5.3
dosC	5,5.5
dosP	5,5.5
dpiA	2,2.2,2.2.2
dpiA	3,3.1,3.1.2,3.1.2.2
dpiA	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
dpiA	3,3.3,3.3.1
dpiB	2,2.3,2.3.3
dpiB	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
dpiB	6,6.1
dppA	1,1.1,1.1.3
dppA	2,2.3,2.3.4
dppA	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
dppB	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
dppB	6,6.1
dppC	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
dppC	6,6.1
dppD	1,1.1,1.1.3
dppD	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
dppF	1,1.1,1.1.3
dppF	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
dps	1,1.7,1.7.19
dps	2,2.3,2.3.7
dps	5,5.5,5.5.3
dsbA	2,2.3,2.3.4
dsbA	5,5.5
dsbB	2,2.3,2.3.3
dsbB	6,6.1
dsbC	2,2.3,2.3.4
dsbD	1,1.6,1.6.15,1.6.15.1
dsbD	1,1.8,1.8.2
dsbD	6,6.1
dsbG	2,2.3,2.3.4
dsdA	1,1.1,1.1.3
dsdC	1,1.1,1.1.3
dsdC	2,2.2,2.2.2
dsdC	3,3.1,3.1.2,3.1.2.2
dsdC	3,3.1,3.1.2,3.1.2.3
dsdC	3,3.3,3.3.1
dsdX	4,4.2,4.2.A
dsdX	6,6.1
dsrA	2,2.2,2.2.7
dsrA	2,2.3,2.3.2
dsrA	3,3.1,3.1.3,3.1.3.6
dsrA	6,6.3
dtd	5,5.6,5.6.2
dtpA	4,4.2,4.2.A
dtpA	6,6.1
dtpB	4,4.2,4.2.A
dtpB	6,6.1
dtpC	4,4.2,4.2.A
dtpC	6,6.1
dtpD	1,1.1,1.1.3
dtpD	4,4.2,4.2.A
dtpD	6,6.1
dusA	2,2.2,2.2.3
dusB	2,2.2,2.2.3
dusC	2,2.2,2.2.3
dut	1,1.7,1.7.33
dxr	1,1.5,1.5.3,1.5.3.11
dxs	1,1.5,1.5.3,1.5.3.11
dxs	1,1.5,1.5.3,1.5.3.6,5'phosphate
dxs	1,1.5,1.5.3,1.5.3.8
eamA	4,4.2,4.2.A
eamB	4,4.9.B
ebgA	1,1.1,1.1.1
ebgC	1,1.1,1.1.1
ebgR	1,1.1,1.1.1
ebgR	2,2.2,2.2.2
ebgR	3,3.1,3.1.2,3.1.2.3
ebgR	3,3.3,3.3.1
ecnA	5,5.5,5.5.1
ecnB	5,5.5,5.5.1
eco	3,3.1,3.1.3,3.1.3.3
ecpA	6,6.5
ecpB	2,2.3,2.3.4
ecpD	6
ecpE	2,2.3,2.3.4
ecpR	3,3.1,3.1.2
eda	1,1.1,1.1.1
eda	1,1.3,1.3.9
eda	1,1.7,1.7.21
edd	1,1.3,1.3.9
efp	2,2.3,2.3.2
elaD	2,2.3,2.3.6
elfA	6,6.5
elfD	2,2.3,2.3.4
elfG	6,6.5
elyC	1,1.6,1.6.7
elyC	6,6.1
emrA	4,4.2,4.2.A
emrA	5,5.6,5.6.4
emrA	6,6.1
emrB	4,4.2,4.2.A
emrB	5,5.6,5.6.4
emrB	6,6.1
emrD	4,4.2,4.2.A
emrD	5,5.6,5.6.4
emrD	6,6.1
emrE	4,4.2,4.2.A
emrE	5,5.6,5.6.4
emrE	6,6.1
emrK	4,4.9.B
emrK	5,5.6,5.6.4
emrY	4,4.2,4.2.A
emrY	5,5.6,5.6.4
emrY	6,6.1
emtA	1,1.2,1.2.3
emtA	6,6.1
endA	1,1.2,1.2.2
endA	2,2.1,2.1.5
eno	1,1.3,1.3.1
eno	1,1.7
entA	1,1.5,1.5.3,1.5.3.14
entB	1,1.5,1.5.3,1.5.3.14
entB	2,2.3,2.3.9
entB	6,6.1
entC	1,1.5,1.5.3,1.5.3.14
entD	1,1.5,1.5.3,1.5.3.14
entD	6,6.1
entE	1,1.5,1.5.3,1.5.3.14
entE	6,6.1
entF	1,1.5,1.5.3,1.5.3.14
entF	1,1.5,1.5.3,1.5.3.5
entF	2,2.3,2.3.9
entF	5,5.5,5.5.7
entF	6,6.1
entH	1,1.5,1.5.3,1.5.3.14
entH	5,5.5,5.5.7
entS	4,4.2,4.2.A
entS	6,6.1
envC	5,5.1
envR	2,2.2,2.2.2
envR	3,3.1,3.1.2,3.1.2.3
envR	3,3.3,3.3.1
envR	5,5.6,5.6.4
envY	2,2.2,2.2.2
envY	3,3.1,3.1.2,3.1.2.2
envY	3,3.3,3.3.1
envZ	2,2.3,2.3.3
envZ	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
envZ	3,3.1,3.1.3,3.1.3.2
envZ	6,6.1
epd	1,1.5,1.5.3,1.5.3.6,5'phosphate
epd	1,1.7
epmA	3,3.1,3.1.3,3.1.3.2
epmB	3,3.1,3.1.3,3.1.3.2
epmC	2,2.3,2.3.3
eptA	6,6.1
eptB	1,1.6,1.6.3,1.6.3.2
eptC	6,6.1
era	5,5.2
erpA	1,1.3,1.3.6
erpA	1,1.3,1.3.7
essD	8,8.1
essQ	8,8.1
etk	2,2.3,2.3.3
etk	6,6.1
etp	2,2.3,2.3.3
ettA	2,2.3,2.3.2
eutA	1,1.1,1.1.4
eutA	2,2.3,2.3.4
eutB	1,1.1,1.1.4
eutC	1,1.1,1.1.4
eutD	1,1.1
eutE	1,1.1,1.1.4
eutG	1,1.1,1.1.4
eutH	1,1.1,1.1.4
eutH	4,4.9.B
eutH	6,6.1
eutJ	1,1.1,1.1.4
eutJ	2,2.3,2.3.4
eutK	1,1.1,1.1.4
eutL	1,1.1,1.1.4
eutM	6
eutP	1,1.1,1.1.4
eutQ	1,1.1,1.1.4
eutR	1,1.1,1.1.4
eutR	2,2.2,2.2.2
eutR	3,3.1,3.1.2,3.1.2.2
eutS	6
eutT	1,1.1,1.1.4
evgA	2,2.2,2.2.2
evgA	3,3.1,3.1.2,3.1.2.2
evgA	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
evgS	2,2.3,2.3.3
evgS	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
evgS	3,3.1,3.1.3,3.1.3.2
evgS	6,6.1
exbB	4,4.2,4.2.C
exbB	5,5.5,5.5.7
exbB	6,6.1
exbD	4,4.2,4.2.C
exbD	5,5.5,5.5.7
exbD	6,6.1
exoX	1,1.2,1.2.2
exoX	2,2.1,2.1.4
exoX	2,2.1,2.1.5
exoX	5,5.6,5.6.1
exuR	1,1.1,1.1.1
exuR	2,2.2,2.2.2
exuR	3,3.1,3.1.2,3.1.2.3
exuR	3,3.3,3.3.2
exuT	1,1.1,1.1.1
exuT	4,4.2,4.2.A
exuT	6,6.1
eyeA	2,2.2
fabA	1,1.5,1.5.4
fabB	1,1.5,1.5.4
fabD	1,1.5,1.5.4
fabF	1,1.5,1.5.4
fabG	1,1.5,1.5.4
fabH	1,1.5,1.5.4
fabI	1,1.5,1.5.4
fabR	2,2.2,2.2.2
fabR	3,3.1,3.1.2,3.1.2.3
fabZ	1,1.5,1.5.4
fadA	1,1.1,1.1.2
fadB	1,1.1,1.1.2
fadD	1,1.1,1.1.2
fadD	1,1.6,1.6.1
fadE	1,1.1,1.1.2
fadH	1,1.1,1.1.2
fadH	1,1.5,1.5.4
fadI	1,1.1,1.1.2
fadJ	1,1.1,1.1.2
fadK	1,1.1,1.1.2
fadL	1,1.1,1.1.2
fadL	4,4.1,4.1.B
fadL	8,8.1
fadM	1,1.1,1.1.2
fadR	1,1.1,1.1.2
fadR	2,2.2,2.2.2
fadR	3,3.1,3.1.2,3.1.2.2
fadR	3,3.1,3.1.2,3.1.2.3
fadR	3,3.3,3.3.1
fadR	3,3.3,3.3.2
fau	5,5.6,5.6.4
fbaA	1,1.1,1.1.1
fbaB	1,1.3,1.3.1
fbp	1,1.7
fcl	1,1.6,1.6.2
fcl	5,5.5,5.5.5
fcl	6,6.3
fcl	6,6.7
fdhD	1,1.3,1.3.7
fdhD	1,1.5,1.5.3,1.5.3.4
fdhE	1,1.3,1.3.7
fdhE	2,2.3,2.3.4
fdhF	1,1.3,1.3.5
fdhF	1,1.4,1.4.1
fdnG	1,1.3,1.3.7
fdnG	1,1.4,1.4.1
fdnH	1,1.3,1.3.7
fdnH	1,1.4,1.4.1
fdnH	6,6.1
fdnI	1,1.3,1.3.7
fdnI	1,1.4,1.4.1
fdnI	1,1.6,1.6.15,1.6.15.1
fdnI	6,6.1
fdoG	1,1.3,1.3.7
fdoG	1,1.4,1.4.1
fdoH	1,1.3,1.3.7
fdoH	1,1.4,1.4.1
fdoH	6,6.1
fdoI	1,1.3,1.3.7
fdoI	1,1.4,1.4.1
fdoI	1,1.6,1.6.15,1.6.15.1
fdoI	6,6.1
fdx	1,1.4,1.4.3
feaB	1,1.1,1.1.4
feaB	1,1.5,1.5.3,1.5.3.7
feaR	1,1.1,1.1.3
feaR	1,1.1,1.1.4
feaR	2,2.2,2.2.2
feaR	3,3.1,3.1.2,3.1.2.2
feaR	3,3.3,3.3.1
fecA	4,4.1,4.1.B
fecA	5,5.5,5.5.7
fecB	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
fecB	5,5.5,5.5.7
fecC	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
fecC	5,5.5,5.5.7
fecC	6,6.1
fecD	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
fecD	6,6.1
fecE	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
fecE	5,5.5,5.5.7
fecI	2,2.2,2.2.2
fecI	3,3.1,3.1.2,3.1.2.1
fecI	3,3.3,3.3.1
fecR	2,2.2,2.2.2
fecR	3,3.1,3.1.2,3.1.2.1
fecR	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
fecR	5,5.5,5.5.7
feoA	4,4.9.A
feoA	5,5.5,5.5.7
feoB	4,4.9.A
feoB	5,5.5,5.5.7
feoB	6,6.1
feoC	4
fepA	4,4.1,4.1.B
fepA	5,5.5,5.5.7
fepA	8,8.4
fepB	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
fepB	5,5.5,5.5.7
fepC	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
fepC	5,5.5,5.5.7
fepD	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
fepD	5,5.5,5.5.7
fepD	6,6.1
fepE	4
fepE	5,5.5,5.5.7
fepE	6,6.1
fepG	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
fepG	5,5.5,5.5.7
fepG	6,6.1
fes	1,1.7,1.7.19
fes	5,5.5,5.5.7
fetA	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
fetA	5,5.5,5.5.7
fetB	4,4.9.B
fetB	5,5.5,5.5.7
fetB	6,6.1
ffh	2,2.3,2.3.5
ffh	4,4.3,4.3.A,4.3.A.5
ffs	2,2.2,2.2.6
ffs	2,2.3,2.3.2
ffs	2,2.3,2.3.5
ffs	6,6.6
fhlA	1,1.3,1.3.5
fhlA	2,2.2,2.2.2
fhlA	3,3.1,3.1.2,3.1.2.2
fhlA	3,3.3,3.3.1
fhuA	4,4.1,4.1.B
fhuA	8,8.1
fhuA	8,8.4
fhuB	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
fhuB	5,5.5,5.5.7
fhuB	6,6.1
fhuC	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
fhuC	5,5.5,5.5.7
fhuD	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
fhuD	5,5.5,5.5.7
fhuE	1,1.7,1.7.19
fhuE	4,4.1,4.1.B
fhuE	5,5.5,5.5.7
fhuF	5,5.5,5.5.7
fieF	4,4.2,4.2.A
fieF	6,6.1
fimA	6,6.5
fimB	1,1.6,1.6.13
fimB	2,2.1,2.1.3
fimB	3,3.1,3.1.1
fimB	3,3.3,3.3.1
fimB	6,6.5
fimC	2,2.3,2.3.4
fimC	6,6.5
fimD	6,6.5
fimE	1,1.6,1.6.13
fimE	2,2.1,2.1.3
fimE	3,3.1,3.1.1
fimE	3,3.3,3.3.1
fimE	6,6.5
fimF	6,6.5
fimG	6,6.5
fimH	1,1.6,1.6.11
fimH	6,6.5
fimI	6,6.5
fimZ	2,2.2,2.2.2
fimZ	3,3.1,3.1.2,3.1.2.2
fimZ	3,3.3,3.3.1
fis	2,2.1,2.1.3
fis	2,2.2,2.2.2
fis	2,2.3,2.3.7
fis	3,3.1,3.1.2,3.1.2.2
fis	3,3.1,3.1.2,3.1.2.3
fiu	4,4.1,4.1.B
fiu	5,5.5,5.5.7
fixA	1,1.4
fixB	1,1.4
fixC	1,1.7,1.7.22
fixX	1,1.7,1.7.22
fklB	2,2.3,2.3.4
fkpA	2,2.3,2.3.4
fkpB	2,2.3,2.3.4
fldA	1,1.4,1.4.1
fldB	1,1.4,1.4.3
flgA	1,1.6,1.6.12
flgA	5,5.3
flgA	6,6.4
flgB	1,1.6,1.6.12
flgB	5,5.3
flgB	6,6.4
flgC	1,1.6,1.6.12
flgC	5,5.3
flgC	6,6.4
flgD	1,1.6,1.6.12
flgD	5,5.3
flgD	6,6.4
flgE	1,1.6,1.6.12
flgE	5,5.3
flgE	6,6.4
flgF	1,1.6,1.6.12
flgF	5,5.3
flgF	6,6.4
flgG	1,1.6,1.6.12
flgG	5,5.3
flgG	6,6.4
flgH	1,1.6,1.6.12
flgH	5,5.3
flgH	6,6.4
flgI	1,1.6,1.6.12
flgI	5,5.3
flgI	6,6.4
flgJ	1,1.6,1.6.12
flgJ	5,5.3
flgJ	6,6.4
flgK	1,1.6,1.6.12
flgK	2,2.3,2.3.4
flgK	5,5.3
flgK	6,6.4
flgL	1,1.6,1.6.12
flgL	2,2.3,2.3.4
flgL	5,5.3
flgL	6,6.4
flgM	2,2.2,2.2.2
flgM	3,3.1,3.1.2,3.1.2.1
flgM	5,5.3
flgM	6,6.4
flgN	1,1.6,1.6.12
flgN	2,2.3,2.3.4
flgN	5,5.3
flgN	6,6.4
flhA	1,1.6,1.6.12
flhA	5,5.3
flhA	6,6.1
flhA	6,6.4
flhB	6,6.1
flhB	6,6.4
flhC	1,1.6,1.6.12
flhC	2,2.2,2.2.2
flhC	3,3.1,3.1.2,3.1.2.2
flhC	3,3.1,3.1.2,3.1.2.3
flhC	3,3.3,3.3.1
flhC	5,5.3
flhC	6,6.4
flhD	1,1.6,1.6.12
flhD	2,2.2,2.2.2
flhD	3,3.1,3.1.2,3.1.2.2
flhD	3,3.1,3.1.2,3.1.2.3
flhD	3,3.3,3.3.1
flhD	5,5.3
flhD	6,6.4
fliA	2,2.2,2.2.2
fliA	3,3.1,3.1.2,3.1.2.1
fliA	3,3.3,3.3.3
fliA	5,5.3
fliA	6,6.4
fliC	1,1.6,1.6.12
fliC	5,5.3
fliC	6,6.4
fliD	1,1.6,1.6.12
fliD	5,5.3
fliD	6,6.4
fliE	1,1.6,1.6.12
fliE	5,5.3
fliE	6,6.4
fliF	1,1.6,1.6.12
fliF	5,5.3
fliF	6,6.4
fliG	1,1.6,1.6.12
fliG	5,5.3
fliG	6,6.4
fliH	1,1.6,1.6.12
fliH	5,5.3
fliH	6,6.4
fliI	1,1.3,1.3.8
fliI	6,6.4
fliJ	1,1.6,1.6.12
fliJ	5,5.3
fliJ	6,6.4
fliK	1,1.6,1.6.12
fliK	5,5.3
fliK	6,6.4
fliL	1,1.6,1.6.12
fliL	5,5.3
fliL	6,6.4
fliM	1,1.6,1.6.12
fliM	5,5.3
fliM	6,6.4
fliN	1,1.6,1.6.12
fliN	5,5.3
fliN	6,6.4
fliO	1,1.6,1.6.12
fliO	5,5.3
fliO	6,6.4
fliP	1,1.6,1.6.12
fliP	5,5.3
fliP	6,6.4
fliQ	1,1.6,1.6.11
fliQ	1,1.6,1.6.12
fliQ	6,6.4
fliR	4,4.9.B
fliR	6,6.4
fliS	1,1.6,1.6.12
fliS	5,5.3
fliS	6,6.4
fliT	1,1.6,1.6.12
fliT	2,2.3,2.3.4
fliT	5,5.3
fliT	6,6.4
fliZ	3,3.1,3.1.4
flk	6,6.4
flu	8,8.1
flxA	8,8.1
fmt	2,2.2,2.2.5
fnr	1,1.3,1.3.7
fnr	2,2.2,2.2.2
fnr	3,3.1,3.1.2,3.1.2.2
fnr	3,3.1,3.1.2,3.1.2.3
fnr	3,3.3,3.3.4
fnrS	2,2.2,2.2.7
fnrS	3,3.1,3.1.3,3.1.3.6
focA	1,1.1,1.1.1
focA	4,4.2,4.2.A
focA	6,6.1
focB	4,4.2,4.2.A
focB	6,6.1
