source,target,score
AcrR,MlrA,0.0
AcrR,ModE,0.0
AcrR,MqsA,0.0
AcrR,MraZ,0.0
AcrR,MurR,0.0
AcrR,Nac,0.0
AcrR,NagC,0.0
AcrR,NanR,0.0
AcrR,NarL,0.0
AcrR,NarP,0.0
AcrR,NemR,0.0
AcrR,NhaR,0.0
AcrR,NikR,0.0
AcrR,NorR,0.0
AcrR,NrdR,0.0
AcrR,NsrR,0.0
AcrR,NtrC,0.0
AcrR,OmpR,0.0
AcrR,OxyR,0.0
AcrR,PaaX,0.0
AcrR,PdhR,0.0
AcrR,PepA,0.0
AcrR,PhoB,0.0
AcrR,PhoP,0.0
AcrR,PrpR,0.0
AcrR,PspF,0.0
AcrR,PurR,0.0
AcrR,PuuR,0.0
AcrR,QseB,0.0
AcrR,RbsR,0.0
AcrR,RcdA,0.0
AcrR,RcnR,0.0
AcrR,RcsAB,0.0
AcrR,RcsB,0.0
AcrR,RcsB-BglJ,0.0
AcrR,RelB,0.0
AcrR,RelB-RelE,0.0
AcrR,RhaR,0.0
AcrR,RhaS,0.0
AcrR,Rob,0.3333333333333333
AcrR,RstA,0.0
AcrR,RtcR,0.0
AcrR,RutR,0.0
AcrR,SlyA,0.0
AcrR,SoxR,0.0
AcrR,SoxS,0.25
AcrR,SrlR,0.0
AcrR,StpA,0.0
AcrR,TdcA,0.0
AcrR,TdcR,0.0
AcrR,TorR,0.0
AcrR,TreR,0.0
AcrR,TyrR,0.0
AcrR,UidR,0.0
AcrR,UlaR,0.0
AcrR,UxuR,0.0
AcrR,XylR,0.0
AcrR,YdeO,0.0
AcrR,YiaJ,0.0
AcrR,ZraR,0.0
AcrR,Zur,0.0
AdiY,AcrR,0.0
AdiY,AdiY,1.0
AdiY,AgaR,0.0
AdiY,AppY,0.0
AdiY,AraC,0.0
AdiY,ArcA,0.0
AdiY,ArgP,0.0
AdiY,ArgR,0.25
AdiY,AscG,0.0
AdiY,AtoC,0.0
AdiY,BCCP,0.0
AdiY,BaeR,0.0
AdiY,BasR,0.0
AdiY,BetI,0.0
AdiY,CRP,0.012048192771084338
AdiY,CadC,0.0
AdiY,CaiF,0.0
AdiY,Cbl,0.0
AdiY,CdaR,0.0
AdiY,ChbR,0.0
AdiY,CpxR,0.0
AdiY,Cra,0.0
AdiY,CreB,0.0
AdiY,CsgD,0.0
AdiY,CueR,0.0
AdiY,CusR,0.0
AdiY,CysB,0.0
AdiY,CytR,0.0
AdiY,DcuR,0.0
AdiY,DeoR,0.0
AdiY,DgoR,0.0
AdiY,DnaA,0.0
AdiY,DpiA,0.0
AdiY,DsdC,0.0
AdiY,EvgA,0.0
AdiY,ExuR,0.0
AdiY,FNR,0.02040816326530612
AdiY,FabR,0.0
AdiY,FadR,0.0
AdiY,FhlA,0.0
AdiY,Fis,0.0
AdiY,FlhDC,0.0
AdiY,FliZ,0.0
AdiY,FucR,0.0
AdiY,Fur,0.058823529411764705
AdiY,GadE,0.3333333333333333
AdiY,GadE-RcsB,0.0
AdiY,GadX,0.0
AdiY,GalR,0.0
AdiY,GalS,0.0
AdiY,GatR,0.0
AdiY,GcvA,0.0
AdiY,GlaR,0.0
AdiY,GlcC,0.0
AdiY,GlpR,0.0
AdiY,GlrR,0.0
AdiY,GntR,0.0
AdiY,GutM,0.0
AdiY,H-NS,0.0
AdiY,HU,0.0
AdiY,HdfR,1.0
AdiY,HipAB,0.0
AdiY,HipB,0.0
AdiY,HprR,0.0
AdiY,HyfR,0.0
AdiY,HypT,0.0
AdiY,IHF,0.029411764705882353
AdiY,IclR,0.0
AdiY,IdnR,0.0
AdiY,IscR,0.0
AdiY,LacI,0.0
AdiY,LeuO,0.0
AdiY,LexA,0.0
AdiY,LldR,0.0
AdiY,Lrp,0.1
AdiY,LsrR,0.0
AdiY,MalI,0.0
AdiY,MalT,0.0
AdiY,MarA,0.0
AdiY,MarR,0.0
AdiY,McbR,0.0
AdiY,MelR,0.0
AdiY,MetJ,0.0
AdiY,MetR,0.0
AdiY,MhpR,0.0
AdiY,Mlc,0.0
AdiY,MlrA,0.0
AdiY,ModE,0.0
AdiY,MqsA,0.0
AdiY,MraZ,0.0
AdiY,MurR,0.0
AdiY,Nac,0.3333333333333333
AdiY,NagC,0.0
AdiY,NanR,0.0
AdiY,NarL,0.0
AdiY,NarP,0.0
AdiY,NemR,0.0
AdiY,NhaR,0.0
AdiY,NikR,0.0
AdiY,NorR,0.0
AdiY,NrdR,0.0
AdiY,NsrR,0.0
AdiY,NtrC,0.0
AdiY,OmpR,0.0
AdiY,OxyR,0.0
AdiY,PaaX,0.0
AdiY,PdhR,0.0
AdiY,PepA,0.0
AdiY,PhoB,0.0
AdiY,PhoP,0.0
AdiY,PrpR,0.0
AdiY,PspF,0.0
AdiY,PurR,0.0
AdiY,PuuR,0.0
AdiY,QseB,0.0
AdiY,RbsR,0.0
AdiY,RcdA,0.0
AdiY,RcnR,0.0
AdiY,RcsAB,0.0
AdiY,RcsB,0.0
AdiY,RcsB-BglJ,0.0
AdiY,RelB,0.0
AdiY,RelB-RelE,0.0
AdiY,RhaR,0.0
AdiY,RhaS,0.0
AdiY,Rob,0.0
AdiY,RstA,0.0
AdiY,RtcR,0.0
AdiY,RutR,0.0
AdiY,SlyA,0.0
AdiY,SoxR,0.0
AdiY,SoxS,0.0
AdiY,SrlR,0.0
AdiY,StpA,0.0
AdiY,TdcA,0.0
AdiY,TdcR,0.0
AdiY,TorR,0.0
AdiY,TreR,0.0
AdiY,TyrR,0.0
AdiY,UidR,0.0
AdiY,UlaR,0.0
AdiY,UxuR,0.0
AdiY,XylR,0.0
AdiY,YdeO,0.0
AdiY,YiaJ,0.0
AdiY,ZraR,0.0
AdiY,Zur,0.0
AgaR,AcrR,0.0
AgaR,AdiY,0.0
AgaR,AgaR,1.0
AgaR,AppY,0.0
AgaR,AraC,0.0
AgaR,ArcA,0.0
AgaR,ArgP,0.0
AgaR,ArgR,0.0
AgaR,AscG,0.0
AgaR,AtoC,0.0
AgaR,BCCP,0.0
AgaR,BaeR,0.0
AgaR,BasR,0.0
AgaR,BetI,0.0
AgaR,CRP,0.012048192771084338
AgaR,CadC,0.0
AgaR,CaiF,0.0
AgaR,Cbl,0.0
AgaR,CdaR,0.0
AgaR,ChbR,0.0
AgaR,CpxR,0.0
AgaR,Cra,0.0
AgaR,CreB,0.0
AgaR,CsgD,0.0
AgaR,CueR,0.0
AgaR,CusR,0.0
AgaR,CysB,0.0
AgaR,CytR,0.0
AgaR,DcuR,0.0
AgaR,DeoR,0.0
AgaR,DgoR,0.0
AgaR,DnaA,0.0
AgaR,DpiA,0.0
AgaR,DsdC,0.0
AgaR,EvgA,0.0
AgaR,ExuR,0.0
AgaR,FNR,0.0
AgaR,FabR,0.0
AgaR,FadR,0.0
AgaR,FhlA,0.0
AgaR,Fis,0.0
AgaR,FlhDC,0.0
AgaR,FliZ,0.0
AgaR,FucR,0.0
AgaR,Fur,0.0
AgaR,GadE,0.0
AgaR,GadE-RcsB,0.0
AgaR,GadX,0.0
AgaR,GalR,0.0
AgaR,GalS,0.0
AgaR,GatR,0.0
AgaR,GcvA,0.0
AgaR,GlaR,0.0
AgaR,GlcC,0.0
AgaR,GlpR,0.0
AgaR,GlrR,0.0
AgaR,GntR,0.0
AgaR,GutM,0.0
AgaR,H-NS,0.0
AgaR,HU,0.0
AgaR,HdfR,0.0
AgaR,HipAB,0.0
AgaR,HipB,0.0
AgaR,HprR,0.0
AgaR,HyfR,0.0
AgaR,HypT,0.0
AgaR,IHF,0.0
AgaR,IclR,0.0
AgaR,IdnR,0.0
AgaR,IscR,0.0
AgaR,LacI,0.0
AgaR,LeuO,0.0
AgaR,LexA,0.0
AgaR,LldR,0.0
AgaR,Lrp,0.0
AgaR,LsrR,0.0
AgaR,MalI,0.0
AgaR,MalT,0.0
AgaR,MarA,0.0
AgaR,MarR,0.0
AgaR,McbR,0.0
AgaR,MelR,0.0
AgaR,MetJ,0.0
AgaR,MetR,0.0
AgaR,MhpR,0.0
AgaR,Mlc,0.0
AgaR,MlrA,0.0
AgaR,ModE,0.0
AgaR,MqsA,0.0
AgaR,MraZ,0.0
AgaR,MurR,0.0
AgaR,Nac,0.0
AgaR,NagC,0.0
AgaR,NanR,0.0
AgaR,NarL,0.0
AgaR,NarP,0.0
AgaR,NemR,0.0
AgaR,NhaR,0.0
AgaR,NikR,0.0
AgaR,NorR,0.0
AgaR,NrdR,0.0
AgaR,NsrR,0.0
AgaR,NtrC,0.0
AgaR,OmpR,0.0
