source	target
GO:0015238	GO:0043879
GO:1900866	GO:0097339
GO:1905039	GO:0097339
GO:0006855	GO:0097339
GO:0003700	GO:0001130
GO:0008172	GO:0003908
GO:0035510	GO:0006307
GO:0033554	GO:0006974
GO:0006479	GO:0018125
GO:0018198	GO:0018125
GO:0035510	GO:0080111
GO:0044728	GO:0080111
GO:0070988	GO:0080111
GO:0019239	GO:0004000
GO:0016814	GO:0004000
GO:0046085	GO:0006154
GO:0042737	GO:0006154
GO:0046130	GO:0006154
GO:0009127	GO:0009168
GO:0009167	GO:0009168
GO:0009156	GO:0009168
GO:0015949	GO:0015950
GO:0006163	GO:0015950
GO:0043173	GO:0032261
GO:0006164	GO:0032261
GO:0043101	GO:0032261
GO:0046101	GO:0043103
GO:0043096	GO:0043103
GO:0046100	GO:0046101
GO:0009113	GO:0046101
GO:0046129	GO:0046103
GO:0046102	GO:0046103
GO:0019239	GO:0000034
GO:0016814	GO:0000034
GO:0046083	GO:0006146
GO:0006145	GO:0006146
GO:0004601	GO:0004096
GO:0005506	GO:0008198
GO:0046914	GO:0030145
GO:1990748	GO:0098869
GO:0015205	GO:0005345
GO:0005345	GO:0015207
GO:0015294	GO:0015295
GO:0015078	GO:0015295
GO:0006863	GO:0015853
GO:0016616	GO:0004022
GO:0006067	GO:0006115
GO:0034309	GO:0006115
GO:0017000	GO:0006115
GO:0016620	GO:0008774
GO:0003824	GO:0016491
GO:0046677	GO:0045471
GO:0042493	GO:0045471
GO:0097305	GO:0045471
GO:0009636	GO:0045471
GO:0006117	GO:0046187
GO:0046185	GO:0046187
GO:0016899	GO:0047639
GO:0006525	GO:0006527
GO:0009065	GO:0006527
GO:0016831	GO:0008792
GO:0070279	GO:0030170
GO:0043168	GO:0030170
GO:0050662	GO:0030170
GO:0045852	GO:0051454
GO:0051453	GO:0051454
GO:0006865	GO:0003333
GO:1905039	GO:0003333
GO:0046942	GO:0006865
GO:0071705	GO:0006865
GO:0046943	GO:0015171
GO:0015174	GO:0015181
GO:0008324	GO:0015181
GO:0015291	GO:0015297
GO:1990822	GO:1903826
GO:0098655	GO:1903826
GO:0015809	GO:1903826
GO:0016836	GO:0019172
GO:0061727	GO:0019243
GO:0046872	GO:0000287
GO:0019201	GO:0004017
GO:0016776	GO:0004017
GO:0009180	GO:0006172
GO:0046031	GO:0006172
GO:0009152	GO:0006172
GO:0009168	GO:0006172
GO:0044267	GO:0006412
GO:0034645	GO:0006412
GO:0043043	GO:0006412
GO:0015950	GO:0015951
GO:0009150	GO:0015951
GO:0034654	GO:0032774
GO:0016070	GO:0032774
GO:0009059	GO:0032774
GO:0016310	GO:0046939
GO:0009117	GO:0046939
GO:0003674	GO:0004871
GO:0038023	GO:0004888
GO:0042330	GO:0006935
GO:0050794	GO:0007165
GO:0009987	GO:0007165
GO:0009454	GO:0052131
GO:0052128	GO:0052131
GO:0050918	GO:0052131
GO:0034338	GO:0008126
GO:0008152	GO:0009056
GO:0052689	GO:0034338
GO:0044092	GO:0043433
GO:0048519	GO:0043433
GO:0051090	GO:0043433
GO:0051336	GO:0051346
GO:0043086	GO:0051346
GO:1901265	GO:0000166
GO:0036094	GO:0000166
GO:0015091	GO:0015408
GO:0019829	GO:0015408
GO:0072512	GO:0015682
GO:0006826	GO:0015682
GO:0017111	GO:0016887
GO:0098797	GO:0043190
GO:0098533	GO:0043190
GO:0055076	GO:0055072
GO:0006812	GO:0099132
GO:0044238	GO:0005975
GO:0071704	GO:0005975
GO:0055085	GO:0034219
GO:0008643	GO:0034219
GO:0008643	GO:0009401
GO:0015144	GO:0051119
GO:0019239	GO:0004342
GO:0016861	GO:0004342
